date, pm25, pm10, o3, no2, so2, co
2024/9/11, 28, 16, 22, 2, , 1
2024/9/12, 14, 8, 21, 2, , 1
2024/9/13, 16, 9, 25, 1, , 1
2024/9/14, 12, 13, 28, 2, , 1
2024/9/15, 17, 10, 24, 2, , 1
2024/9/16, 13, 10, 26, 3, , 
2024/9/17, 16, 14, 28, 3, , 1
2024/9/18, 24, 6, 25, 1, , 
2024/9/24, 26, 19, 24, 3, , 
2024/9/25, 26, 22, 25, 5, 1, 
2024/9/26, 21, 18, 23, 4, 7, 1
2024/9/27, 20, 15, 22, 2, 2, 3
2024/9/28, 25, 16, 18, 4, , 2
2024/9/29, 20, 16, 24, 3, , 
2024/9/30, 23, 16, 22, 3, , 1
2024/4/1, 47, 8, 16, 2, , 
2024/4/2, 26, 9, 13, 3, , 
2024/4/3, 21, 10, 14, 3, 2, 
2024/4/4, 22, 8, 16, 2, , 
2024/4/5, 21, 10, 12, 1, , 
2024/4/6, 24, 5, 14, 2, , 
2024/4/7, 18, 6, 15, 3, , 
2024/4/8, 20, 7, 13, 2, , 
2024/4/9, 19, 4, 11, 2, , 
2024/4/10, 18, 5, 11, 3, , 
2024/4/11, 19, 4, 10, 2, , 
2024/4/12, 35, 4, 12, 3, , 
2024/4/13, 20, 7, 15, 2, , 1
2024/4/14, 32, 9, 17, 3, , 1
2024/4/15, 29, 10, 9, 5, , 1
2024/4/16, 26, 25, 13, 4, , 2
2024/4/17, 60, 6, 13, 3, , 
2024/4/18, 23, 7, 11, 4, , 
2024/4/19, 22, 11, 16, 2, , 
2024/4/20, 32, 9, 16, 2, , 
2024/4/21, 22, 15, 12, 5, , 1
2024/4/22, 43, 30, 21, 5, , 2
2024/4/23, 77, 9, 17, 1, , 
2024/4/24, 22, 7, 17, 1, , 
2024/4/25, 20, 6, 15, 3, , 
2024/4/26, 21, 11, 16, 3, , 
2024/4/27, 26, 17, 11, 5, , 1
2024/4/28, 56, 16, 12, 6, , 1
2024/4/29, 38, 14, 15, 4, , 
2024/4/30, 25, 12, 6, 6, , 1
2024/5/1, 42, 9, 17, 4, , 1
2024/5/2, 30, 9, 18, 5, , 1
2024/5/3, 31, 7, 18, 2, , 1
2024/5/4, 28, 6, 16, 2, , 1
2024/5/5, 26, 10, 16, 2, , 
2024/5/6, 27, 8, 17, 4, , 1
2024/5/7, 25, 13, 16, 3, , 1
2024/5/8, 29, 9, 16, 3, , 1
2024/5/9, 29, 9, 19, 3, , 1
2024/5/10, 24, 11, 20, 1, , 
2024/5/11, 21, 5, 17, 1, , 
2024/5/12, 19, 10, 20, 4, , 1
2024/5/13, 37, 11, 17, 5, , 1
2024/5/14, 24, 10, 17, 4, , 1
2024/5/15, 41, 13, 16, 5, , 2
2024/5/16, 25, 13, 19, 3, , 1
2024/5/17, 35, 14, 19, 2, , 
2024/5/18, 26, 7, 17, 1, , 1
2024/5/19, 22, 6, 13, 4, , 1
2024/5/20, 23, 11, 12, 6, 1, 1
2024/5/21, 34, 11, 12, 5, , 1
2024/5/22, 63, 13, 9, 7, , 1
2024/5/23, 41, 13, 13, 6, , 1
2024/5/24, 45, 13, 14, 4, , 1
2024/5/25, 47, 16, 14, 5, , 1
2024/5/26, 53, 15, 15, 5, , 1
2024/5/27, 59, 26, 15, 8, , 2
2024/5/28, 53, 18, 11, 8, , 2
2024/5/29, 73, 21, 19, 7, , 2
2024/5/30, 40, 10, 21, 2, , 
2024/5/31, 21, 10, 17, 4, , 
2024/6/1, 24, 10, 18, 2, , 1
2024/6/2, 23, 4, 20, 3, , 1
2024/6/3, 19, 4, 17, 4, , 
2024/6/4, 19, 11, 13, 7, , 1
2024/6/5, 32, 13, 11, 7, , 1
2024/6/6, 34, 10, 16, 7, , 1
2024/6/7, 28, 10, 13, 3, , 1
2024/6/8, 38, 6, 16, 2, , 
2024/6/9, 26, 15, 18, 6, , 1
2024/6/10, 31, 9, 21, 3, , 1
2024/6/11, 23, 10, 21, 1, , 
2024/6/12, 21, 8, 17, 5, , 1
2024/6/13, 23, 11, 22, 4, , 1
2024/6/14, 31, 11, 17, 4, , 
2024/6/15, 23, 10, 16, 4, , 1
2024/6/16, 28, 16, 14, 6, , 2
2024/6/17, 38, 15, 12, 6, 1, 1
2024/6/18, 31, 18, 13, 8, 3, 1
2024/6/19, 38, 13, 10, 7, , 1
2024/6/20, 47, 12, 9, 6, , 1
2024/6/21, 43, 11, 16, 3, , 1
2024/6/22, 45, 15, 13, 4, 1, 1
2024/6/23, 49, 13, 6, 7, , 1
2024/6/24, 55, 20, 9, 7, , 2
2024/6/25, 36, 11, 18, 4, , 1
2024/6/26, 23, 9, 18, 6, , 1
2024/6/27, 16, 24, 15, 8, , 2
2024/6/28, 34, 6, 19, 1, , 1
2024/6/29, 10, 9, 20, 2, , 
2024/6/30, 15, 10, 14, 6, 1, 1
2024/1/1, 30, 14, 21, 1, 3, 1
2024/1/2, 29, 12, 23, 2, , 1
2024/1/3, 32, 11, 11, 1, 6, 
2024/1/4, 26, 12, 14, , , 
2024/1/5, 25, 13, 15, 1, 7, 
2024/1/6, 26, 16, 18, 1, 1, 
2024/1/7, 30, 7, 13, 2, , 
2024/1/8, 21, 20, 13, 1, , 
2024/1/9, 32, 17, 24, 1, , 
2024/1/10, 33, 11, 20, 2, 2, 
2024/1/11, 29, 16, 30, 2, , 1
2024/1/12, 36, 13, 15, 1, , 
2024/1/13, 33, 16, 15, 1, 5, 
2024/1/14, 27, 16, 14, , , 
2024/1/15, 25, 13, 22, 1, , 
2024/1/16, 24, 15, 14, 4, , 
2024/1/17, 23, 13, 16, 1, , 
2024/1/18, 22, 5, 13, 1, , 
2024/1/19, 18, 13, 15, 1, , 
2024/1/20, 25, 14, 16, , , 
2024/1/21, 27, 12, 13, 1, , 
2024/1/22, 21, 10, 12, 1, 2, 
2024/1/23, 21, 22, 26, 2, , 
2024/1/24, 29, 15, 14, 3, , 
2024/1/25, 28, 13, 12, 1, , 
2024/1/26, 23, 16, 15, , , 
2024/1/27, 24, 6, 12, 1, , 
2024/1/28, 20, 11, 20, 2, , 
2024/1/29, 22, 12, 18, 2, 1, 
2024/1/30, 28, 14, 11, 1, , 
2024/1/31, 24, 11, 12, 1, , 
2024/2/1, 23, 22, 13, , , 
2024/2/2, 28, 20, 28, 2, , 
2024/2/3, 30, 18, 29, 1, , 
2024/2/4, 27, 17, 12, 3, , 
2024/2/5, 27, 8, 9, 2, , 
2024/2/6, 20, 15, 14, 2, 2, 
2024/2/7, 20, 11, 15, 2, , 
2024/2/8, 22, 11, 14, 2, , 
2024/2/9, 24, 17, 12, 1, 2, 
2024/2/10, 27, 18, 21, , , 
2024/2/11, 29, 20, 33, 3, , 1
2024/2/12, 28, 26, 25, 4, , 
2024/2/13, 32, 13, 14, 2, , 
2024/2/14, 22, 15, 16, 3, , 23
2024/2/15, 24, 12, 14, 2, , 
2024/2/16, 31, 12, 17, 1, , 
2024/2/17, 40, 4, 12, 1, , 1
2024/2/18, 17, 9, 12, 1, , 3
2024/2/19, 21, 12, 16, 2, , 3
2024/2/20, 30, 17, 30, 4, , 3
2024/2/21, 26, 21, 28, 5, , 2
2024/2/22, 26, 17, 16, 1, , 
2024/2/23, 29, 24, 15, 1, , 
2024/2/24, 33, 26, 29, 1, , 
2024/2/25, 47, 16, 15, 1, , 
2024/2/26, 26, 19, 17, 1, , 
2024/2/27, 29, 25, 28, 5, , 1
2024/2/28, 33, 24, 16, 2, , 
2024/2/29, 34, 14, 21, 2, , 
2024/3/1, 24, 13, 15, 1, , 
2024/3/2, 23, 19, 13, , , 
2024/3/3, 27, 23, 14, 2, 8, 
2024/3/4, 28, 17, 29, 2, , 
2024/3/5, 25, 25, 30, 4, 1, 1
2024/3/6, 29, 16, 15, 2, 20, 
2024/3/7, 26, 22, 18, 4, 8, 
2024/3/8, 40, 23, 30, 1, , 1
2024/3/9, 39, 21, 29, 3, 1, 
2024/3/10, 28, 22, 27, 3, 3, 
2024/3/11, 29, 25, 16, 4, , 
2024/3/12, 30, 17, 11, 3, , 
2024/3/13, 34, 10, 13, 1, 25, 
2024/3/14, 26, 12, 15, , , 
2024/3/15, 23, 10, 14, , 4, 
2024/3/16, 21, 12, 22, , 3, 
2024/3/17, 25, 10, 19, , 1, 1
2024/3/18, 23, 14, 24, 3, , 1
2024/3/19, 30, 8, 14, 3, , 
2024/3/20, 18, 11, 16, 3, 1, 
2024/3/21, 20, 11, 23, 4, , 
2024/3/22, 22, 9, 14, 3, , 
2024/3/23, 21, 9, 15, 2, , 
2024/3/24, 20, 7, 16, 2, , 
2024/3/25, 20, 8, 17, 3, , 
2024/3/26, 21, 11, 14, 4, , 
2024/3/27, 22, , 17, 4, 2, 
2024/3/28, 22, , 32, 2, 1, 1
2024/3/29, 57, 21, 26, 3, , 1
2024/3/30, 64, 22, 27, 1, , 1
2024/3/31, 70, 17, 19, 3, , 1
2023/10/1, 24, 51, 31, 5, 4, 3
2023/10/2, 80, 41, 24, 4, , 4
2023/10/3, 61, 5, 18, 3, , 3
2023/10/4, 19, 8, 19, 2, 1, 
2023/10/5, 20, 13, 21, 2, , 
2023/10/6, 22, 11, 21, 3, , 
2023/10/7, 23, 9, 21, 1, 1, 
2023/10/8, 24, 4, 22, 2, , 
2023/10/9, 16, 4, 22, 2, , 
2023/10/10, 16, 9, 26, 3, , 1
2023/10/11, 24, 14, 16, 5, , 1
2023/10/12, 28, , , , , 
2023/11/29, 19, 4, 16, 2, , 
2023/11/30, 17, 4, 16, 4, , 
2023/12/1, 17, 6, 14, 1, , 
2023/12/2, 18, 7, 16, 1, 1, 
2023/12/3, 18, 8, 27, 1, , 
2023/12/4, 20, 15, 30, 2, , 
2023/12/5, 25, 16, 16, 2, , 
2023/12/6, 26, 24, 26, 2, , 
2023/12/7, 28, 22, 35, 4, , 1
2023/12/8, 30, 10, 19, , , 
2023/12/9, 21, 8, 18, , , 
2023/12/10, 20, 7, 17, 1, , 1
2023/12/11, 22, 12, 17, 1, 6, 1
2023/12/12, 25, 16, 31, 3, , 1
2023/12/13, 35, 10, 22, 1, , 
2023/12/14, 23, 9, 21, 1, , 
2023/12/15, 21, 10, 18, 1, , 
2023/12/16, 21, 18, 20, , , 
2023/12/17, 30, 22, 16, 3, , 1
2023/12/18, 34, 10, 21, 2, , 
2023/12/19, 21, 10, 14, 2, , 
2023/12/20, 20, 13, 13, 1, , 
